city,zip,state
Almersbach,57610,Rheinland-Pfalz
Alpen,46519,Nordrhein-Westfalen
Alpenrod,57642,Rheinland-Pfalz
Alpenrod,57647,Rheinland-Pfalz
Alperstedt,99195,Thüringen
Alpirsbach,72275,Baden-Württemberg
Alsbach,56237,Rheinland-Pfalz
Alsbach-Hähnlein,64665,Hessen
Alsdorf,52477,Nordrhein-Westfalen
Alsdorf,57518,Rheinland-Pfalz
Alsdorf,54668,Rheinland-Pfalz
Alsenz,67821,Rheinland-Pfalz
Alsfeld,36304,Hessen
Alsheim,67577,Rheinland-Pfalz
Alsleben,06425,Sachsen-Anhalt
Altbach,73776,Baden-Württemberg
Alt Bennebek,24848,Schleswig-Holstein
Alt Bukow,18233,Mecklenburg-Vorpommern
Altdöbern,03229,Brandenburg
Altdorf,84032,Bayern
Altdorf,71155,Baden-Württemberg
Altdorf,72655,Baden-Württemberg
Altdorf,67482,Rheinland-Pfalz
Altdorf bei Nürnberg,90518,Bayern
Alt Duvenstedt,24782,Schleswig-Holstein
Alt Duvenstedt,24791,Schleswig-Holstein
Alt Duvenstedt,24811,Schleswig-Holstein
Altefähr,18573,Mecklenburg-Vorpommern
Alteglofsheim,93087,Bayern
Altena,58762,Nordrhein-Westfalen
Altenahr,53505,Rheinland-Pfalz
Altenbamberg,55585,Rheinland-Pfalz
Altenbeken,33184,Nordrhein-Westfalen
Altenberg,01773,Sachsen
Altenberg,01778,Sachsen
Altenberga,07768,Thüringen
Altenberge,48341,Nordrhein-Westfalen
Altenbeuthen,07338,Thüringen
Altenbuch,97901,Bayern
Altenburg,04600,Thüringen
Altendiez,65624,Rheinland-Pfalz
Altendorf,92540,Bayern
Altendorf,96146,Bayern
Altenglan,66885,Rheinland-Pfalz
Altenhagen,17091,Mecklenburg-Vorpommern
Altenhausen,39343,Sachsen-Anhalt
Altenhof,24340,Schleswig-Holstein
Altenhof,17209,Mecklenburg-Vorpommern
Altenholz,24161,Schleswig-Holstein
Altenkirchen,66903,Rheinland-Pfalz
Altenkirchen,18556,Mecklenburg-Vorpommern
Altenkirchen (Westerwald),57610,Rheinland-Pfalz
Altenkrempe,23730,Schleswig-Holstein
Altenkunstadt,96264,Bayern
Altenmarkt an der Alz,83352,Bayern
Altenmedingen,29575,Niedersachsen
Altenmoor,25335,Schleswig-Holstein
Altenmünster,86450,Bayern
Altenpleen,18445,Mecklenburg-Vorpommern
Altenriet,72657,Baden-Württemberg
Altenstadt,63674,Hessen
Altenstadt,86972,Bayern
Altenstadt,89281,Bayern
Altenstadt an der Waldnaab,92665,Bayern
Altensteig,72213,Baden-Württemberg
Altenthann,93177,Bayern
Altentreptow,17087,Mecklenburg-Vorpommern
Alterkülz,56288,Rheinland-Pfalz
Altertheim,97237,Bayern
Altfraunhofen,84169,Bayern
Althegnenberg,82278,Bayern
Altheim,88499,Baden-Württemberg
Altheim,89605,Baden-Württemberg
Altheim (Alb),89174,Baden-Württemberg
Althengstett,75382,Baden-Württemberg
Althornbach,66484,Rheinland-Pfalz
Althütte,71566,Baden-Württemberg
Althüttendorf,16247,Brandenburg
Altkalen,17179,Mecklenburg-Vorpommern
Alt Krenzlin,19288,Mecklenburg-Vorpommern
Altlandsberg,15345,Brandenburg
Altlay,56858,Rheinland-Pfalz
Altleiningen,67316,Rheinland-Pfalz
Altleiningen,67317,Rheinland-Pfalz
Altlußheim,68804,Baden-Württemberg
Altmannstein,93336,Bayern
Altmärkische Höhe,39606,Sachsen-Anhalt
Altmärkische Höhe,39615,Sachsen-Anhalt
Altmärkische Wische,39615,Sachsen-Anhalt
Alt Meteln,19069,Mecklenburg-Vorpommern
Altmittweida,09648,Sachsen
Alt Mölln,23881,Schleswig-Holstein
Altomünster,85250,Bayern
Altötting,84503,Bayern
Altrich,54518,Rheinland-Pfalz
Altrip,67122,Rheinland-Pfalz
Altscheid,54636,Rheinland-Pfalz
Alt Schwerin,17214,Mecklenburg-Vorpommern
Altshausen,88361,Baden-Württemberg
Altstrimmig,56858,Rheinland-Pfalz
Alt Sührkow,17166,Mecklenburg-Vorpommern
Alt Tellin,17129,Mecklenburg-Vorpommern
Alt Tucheband,15328,Brandenburg
Altusried,87452,Bayern
Altwarp,17375,Mecklenburg-Vorpommern
Altweidelbach,55469,Rheinland-Pfalz
Altwigshagen,17379,Mecklenburg-Vorpommern
Alt Zachun,19230,Mecklenburg-Vorpommern
Alt Zauche-Wußwerk,15913,Brandenburg
Alveslohe,25486,Schleswig-Holstein
Alzenau,63755,Bayern
Alzey,55232,Rheinland-Pfalz
Amberg,92224,Bayern
Amberg,86854,Bayern
Amelinghausen,21385,Niedersachsen
Amerang,83123,Bayern
Amerdingen,86735,Bayern
Am Ettersberg,99439,Thüringen
Am Großen Bruch,39393,Sachsen-Anhalt
Ammeldingen an der Our,54675,Rheinland-Pfalz
Ammeldingen bei Neuerburg,54673,Rheinland-Pfalz
Am Mellensee,15838,Brandenburg
Ammerbuch,72119,Baden-Württemberg
Ammerndorf,90614,Bayern
Ammersbek,22949,Schleswig-Holstein
Ammerthal,92260,Bayern
Am Ohmberg,37345,Thüringen
Amöneburg,35287,Hessen
Amorbach,63916,Bayern
Ampfing,84539,Bayern
Am Salzhaff,18233,Mecklenburg-Vorpommern
Amstetten,73340,Baden-Württemberg
Amt Creuzburg,99831,Thüringen
Amt Neuhaus,19273,Niedersachsen
Amtsberg,09439,Sachsen
Amt Wachsenburg,99102,Thüringen
Amt Wachsenburg,99334,Thüringen
Amtzell,88279,Baden-Württemberg
Andechs,82346,Bayern
Anderlingen,27446,Niedersachsen
Andernach,56626,Rheinland-Pfalz
An der Poststraße,06647,Sachsen-Anhalt
An der Schmücke,06577,Thüringen
Andervenne,49832,Niedersachsen
Andisleben,99189,Thüringen
Angelbachtal,74918,Baden-Württemberg
Angelburg,35719,Hessen
Anger,83454,Bayern
Angermünde,16278,Brandenburg
Angern,39326,Sachsen-Anhalt
Angern,39517,Sachsen-Anhalt
Anhausen,56584,Rheinland-Pfalz
Ankershagen,17219,Mecklenburg-Vorpommern
Anklam,17389,Mecklenburg-Vorpommern
Ankum,49577,Niedersachsen
Annaberg-Buchholz,09456,Sachsen
Annaburg,06925,Sachsen-Anhalt
Annweiler am Trifels,76855,Rheinland-Pfalz
Anröchte,59609,Nordrhein-Westfalen
Anrode,99976,Thüringen
Ansbach,91522,Bayern
Anschau,56729,Rheinland-Pfalz
Antdorf,82387,Bayern
Antrifttal,36326,Hessen
Antweiler,53533,Rheinland-Pfalz
Anzing,85646,Bayern
Apelern,31552,Niedersachsen
Apen,26689,Niedersachsen
Apenburg-Winterfeld,38486,Sachsen-Anhalt
Apensen,21641,Niedersachsen
Apfeldorf,86974,Bayern
Apfeltrach,87742,Bayern
Apolda,99510,Thüringen
Appel,21279,Niedersachsen
Appen,25482,Schleswig-Holstein
Appenheim,55437,Rheinland-Pfalz
Appenweier,77767,Baden-Württemberg
Arbach,56769,Rheinland-Pfalz
Arberg,91722,Bayern
Aremberg,53533,Rheinland-Pfalz
Arendsee (Altmark),39619,Sachsen-Anhalt
Arenrath,54518,Rheinland-Pfalz
Arenshausen,37318,Thüringen
Aresing,86561,Bayern
Arft,56729,Rheinland-Pfalz
Argenbühl,88260,Baden-Württemberg
Argenschwang,55595,Rheinland-Pfalz
Argenthal,55496,Rheinland-Pfalz
Arholzen,37627,Niedersachsen
Arkebek,25767,Schleswig-Holstein
Arlewatt,25860,Schleswig-Holstein
Armsheim,55288,Rheinland-Pfalz
Armstedt,24616,Schleswig-Holstein
Armstorf,21769,Niedersachsen
Arnbruck,93471,Bayern
Arneburg,39596,Sachsen-Anhalt
Arnis,24399,Schleswig-Holstein
Arnsberg,59755,Nordrhein-Westfalen
Arnsberg,59757,Nordrhein-Westfalen
Arnsberg,59759,Nordrhein-Westfalen
Arnsberg,59821,Nordrhein-Westfalen
Arnsberg,59823,Nordrhein-Westfalen
Arnschwang,93473,Bayern
Arnsdorf,01477,Sachsen
Arnshöfen,56244,Rheinland-Pfalz
Arnstadt,99310,Thüringen
Arnstein,97450,Bayern
Arnstein,06456,Sachsen-Anhalt
Arnstorf,94424,Bayern
Arpsdorf,24634,Schleswig-Holstein
Arrach,93474,Bayern
Artern,06556,Thüringen
Artlenburg,21380,Niedersachsen
Arzbach,56337,Rheinland-Pfalz
Arzberg,04886,Sachsen
Arzberg,95659,Bayern
Arzfeld,54687,Rheinland-Pfalz
Asbach,53567,Rheinland-Pfalz
Asbach,55758,Rheinland-Pfalz
Asbach-Bäumenheim,86663,Bayern
Asbach-Sickenberg,37318,Thüringen
Ascha,94347,Bayern
Aschaffenburg,63739,Bayern
Aschaffenburg,63741,Bayern
Aschaffenburg,63743,Bayern
Aschau am Inn,84544,Bayern
Aschau im Chiemgau,83229,Bayern
Aschbach,67753,Rheinland-Pfalz
Ascheberg,59387,Nordrhein-Westfalen
Ascheberg,24326,Schleswig-Holstein
Ascheffel,24358,Schleswig-Holstein
Aschersleben,06449,Sachsen-Anhalt
Aschheim,85609,Bayern
Asendorf,21271,Niedersachsen
Asendorf,27330,Niedersachsen
Aspach,71546,Baden-Württemberg
Asperg,71679,Baden-Württemberg
Aspisheim,55459,Rheinland-Pfalz
Assamstadt,97959,Baden-Württemberg
Asselfingen,89176,Baden-Württemberg
Aßlar,35614,Hessen
Aßling,85617,Bayern
Astert,57627,Rheinland-Pfalz
Attendorn,57439,Nordrhein-Westfalen
Attenhausen,56370,Rheinland-Pfalz
Attenhofen,84091,Bayern
Attenkirchen,85395,Bayern
Attenweiler,88448,Baden-Württemberg
Atting,94348,Bayern
Atzelgift,57629,Rheinland-Pfalz
Au,79280,Baden-Württemberg
Au am Rhein,76474,Baden-Württemberg
Aub,97239,Bayern
Aubstadt,97633,Bayern
Auderath,56766,Rheinland-Pfalz
Aue-Bad Schlema,08280,Sachsen
Aue-Bad Schlema,08301,Sachsen
Auel,56357,Rheinland-Pfalz
Auen,55569,Rheinland-Pfalz
Auengrund,98673,Thüringen
Auenwald,71549,Baden-Württemberg
Auerbach,09392,Sachsen
Auerbach,94530,Bayern
Auerbach in der Oberpfalz,91275,Bayern
Auerbach/Vogtland,08209,Sachsen
Auetal,31749,Niedersachsen
Aufhausen,93089,Bayern
Aufseß,91347,Bayern
Auggen,79424,Baden-Württemberg
Augsburg,86150,Bayern
Augsburg,86152,Bayern
Augsburg,86153,Bayern
Augsburg,86154,Bayern
Augsburg,86156,Bayern
Augsburg,86157,Bayern
Augsburg,86159,Bayern
Augsburg,86161,Bayern
Augsburg,86163,Bayern
Augsburg,86165,Bayern
Augsburg,86167,Bayern
Augsburg,86169,Bayern
Augsburg,86179,Bayern
Augsburg,86199,Bayern
Augustdorf,32832,Nordrhein-Westfalen
Augustusburg,09573,Sachsen
Auhagen,31553,Niedersachsen
Auhausen,86736,Bayern
Au in der Hallertau,84072,Bayern
Aukrug,24613,Schleswig-Holstein
Aulendorf,88326,Baden-Württemberg
Aull,65582,Rheinland-Pfalz
Auma-Weidatal,07955,Thüringen
Aumühle,21521,Schleswig-Holstein
Aura a.d.Saale,97717,Bayern
Aurach,91589,Bayern
Aurachtal,91086,Bayern
Aura im Sinngrund,97773,Bayern
Aurich,26603,Niedersachsen
Aurich,26605,Niedersachsen
Aurich,26607,Niedersachsen
Ausacker,24975,Schleswig-Holstein
Ausleben,39393,Sachsen-Anhalt
Außernzell,94532,Bayern
Auufer,25548,Schleswig-Holstein
Auw an der Kyll,54664,Rheinland-Pfalz
Auw bei Prüm,54597,Rheinland-Pfalz
Aventoft,25927,Schleswig-Holstein
Averlak,25715,Schleswig-Holstein
Axstedt,27729,Niedersachsen
Aying,85653,Bayern
Ayl,54441,Rheinland-Pfalz
Aystetten,86482,Bayern
Baabe,18586,Mecklenburg-Vorpommern
Baar,86674,Bayern
Baar,56729,Rheinland-Pfalz
Baar-Ebenhausen,85107,Bayern
Babenhausen,64832,Hessen
Babenhausen,87727,Bayern
Babensham,83547,Bayern
Bach an der Donau,93090,Bayern
Bacharach,55422,Rheinland-Pfalz
Bachenberg,57610,Rheinland-Pfalz
Bachhagel,89429,Bayern
Bächingen a.d.Brenz,89431,Bayern
Backnang,71522,Baden-Württemberg
Bad Abbach,93077,Bayern
Bad Aibling,83043,Bayern
Bad Alexandersbad,95680,Bayern
Bad Arolsen,34454,Hessen
Bad Bayersoien,82435,Bayern
Bad Bellingen,79415,Baden-Württemberg
Bad Belzig,14806,Brandenburg
Bad Bentheim,48455,Niedersachsen
Badbergen,49635,Niedersachsen
Bad Bergzabern,76887,Rheinland-Pfalz
Bad Berka,99438,Thüringen
Bad Berleburg,57319,Nordrhein-Westfalen
Bad Berneck im Fichtelgebirge,95460,Bayern
Bad Bertrich,56864,Rheinland-Pfalz
Bad Bevensen,29549,Niedersachsen
Bad Bibra,06647,Sachsen-Anhalt
Bad Birnbach,84364,Bayern
Bad Blankenburg,07422,Thüringen
Bad Bocklet,97708,Bayern
Bad Bodenteich,29389,Niedersachsen
Bad Boll,73087,Baden-Württemberg
Bad Brambach,08648,Sachsen
Bad Bramstedt,24576,Schleswig-Holstein
Bad Breisig,53498,Rheinland-Pfalz
Bad Brückenau,97769,Bayern
Bad Buchau,88422,Baden-Württemberg
Bad Camberg,65520,Hessen
Baddeckenstedt,38271,Niedersachsen
Bad Ditzenbach,73312,Baden-Württemberg
Bad Ditzenbach,73342,Baden-Württemberg
Bad Ditzenbach,73345,Baden-Württemberg
Bad Doberan,18209,Mecklenburg-Vorpommern
Bad Driburg,33014,Nordrhein-Westfalen
Bad Düben,04849,Sachsen
Bad Dürkheim,67098,Rheinland-Pfalz
Bad Dürrenberg,06231,Sachsen-Anhalt
Bad Dürrheim,78073,Baden-Württemberg
Bad Eilsen,31707,Niedersachsen
Bad Elster,08645,Sachsen
Badem,54657,Rheinland-Pfalz
Bad Ems,56130,Rheinland-Pfalz
Bad Emstal,34308,Hessen
Baden-Baden,76530,Baden-Württemberg
Baden-Baden,76532,Baden-Württemberg
Baden-Baden,76534,Baden-Württemberg
Bad Endbach,35080,Hessen
Badendorf,23619,Schleswig-Holstein
Bad Endorf,83093,Bayern
Badenhard,56291,Rheinland-Pfalz
Badenheim,55576,Rheinland-Pfalz
Badenweiler,79410,Baden-Württemberg
Bad Essen,49152,Niedersachsen
Bad Fallingbostel,29683,Niedersachsen
Bad Feilnbach,83075,Bayern
Bad Frankenhausen/Kyffhäuser,06567,Thüringen
Bad Freienwalde (Oder),16259,Brandenburg
Bad Friedrichshall,74177,Baden-Württemberg
Bad Füssing,94072,Bayern
Bad Gandersheim,37581,Niedersachsen
Bad Gottleuba-Berggießhübel,01816,Sachsen
Bad Griesbach i.Rottal,94086,Bayern
Bad Grönenbach,87730,Bayern
Bad Grund,37539,Niedersachsen
Bad Harzburg,38667,Niedersachsen
Bad Heilbrunn,83670,Bayern
Bad Herrenalb,76332,Baden-Württemberg
Bad Hersfeld,36251,Hessen
Bad Hindelang,87541,Bayern
Bad Homburg vor der Höhe,61348,Hessen
Bad Homburg vor der Höhe,61350,Hessen
Bad Homburg vor der Höhe,61352,Hessen
Bad Honnef,53604,Nordrhein-Westfalen
Bad Hönningen,53547,Rheinland-Pfalz
Bad Hönningen,53557,Rheinland-Pfalz
Bad Iburg,49186,Niedersachsen
Bad Karlshafen,34385,Hessen
Bad Kissingen,97688,Bayern
Bad Kleinen,23996,Mecklenburg-Vorpommern
Bad Klosterlausnitz,07639,Thüringen
Bad Kohlgrub,82433,Bayern
Bad König,64732,Hessen
Bad Königshofen im Grabfeld,97631,Bayern
Bad Köstritz,07586,Thüringen
Bad Kötzting,93444,Bayern
Bad Kreuznach,55543,Rheinland-Pfalz
Bad Kreuznach,55545,Rheinland-Pfalz
Bad Kreuznach,55583,Rheinland-Pfalz
Bad Krozingen,79189,Baden-Württemberg
Bad Laasphe,57334,Nordrhein-Westfalen
Bad Laer,49196,Niedersachsen
Bad Langensalza,99947,Thüringen
Bad Lausick,04651,Sachsen
Bad Lauterberg,37431,Niedersachsen
Bad Liebenstein,36448,Thüringen
Bad Liebenwerda,04895,Brandenburg
Bad Liebenwerda,04924,Brandenburg
Bad Liebenwerda,04931,Brandenburg
Bad Liebenzell,75378,Baden-Württemberg
Bad Lippspringe,33175,Nordrhein-Westfalen
Bad Lobenstein,07356,Thüringen
Bad Marienberg (Westerwald),56470,Rheinland-Pfalz
Bad Mergentheim,97980,Baden-Württemberg
Bad Münder am Deister,31848,Niedersachsen
Bad Münstereifel,53902,Nordrhein-Westfalen
Bad Muskau - Mužakow,02953,Sachsen
Bad Nauheim,61231,Hessen
Bad Nenndorf,31542,Niedersachsen
Bad Neuenahr-Ahrweiler,53474,Rheinland-Pfalz
Bad Neustadt an der Saale,97616,Bayern
Bad Oeynhausen,32545,Nordrhein-Westfalen
Bad Oeynhausen,32547,Nordrhein-Westfalen
Bad Oeynhausen,32549,Nordrhein-Westfalen
Bad Oldesloe,23843,Schleswig-Holstein
Bad Orb,63619,Hessen
Bad Peterstal-Griesbach,72250,Baden-Württemberg
Bad Peterstal-Griesbach,77740,Baden-Württemberg
Bad Pyrmont,31812,Niedersachsen
Bad Rappenau,74906,Baden-Württemberg
Bad Reichenhall,83435,Bayern
Bad Rippoldsau-Schapbach,77776,Baden-Württemberg
Bad Rodach,96476,Bayern
Bad Rothenfelde,49214,Niedersachsen
Bad Saarow,15526,Brandenburg
Bad Sachsa,37441,Niedersachsen
Bad Säckingen,79713,Baden-Württemberg
Bad Salzdetfurth,31162,Niedersachsen
Bad Salzschlirf,36364,Hessen
Bad Salzuflen,32105,Nordrhein-Westfalen
Bad Salzuflen,32107,Nordrhein-Westfalen
Bad Salzuflen,32108,Nordrhein-Westfalen
Bad Salzungen,36433,Thüringen
Bad Salzungen,36469,Thüringen
Bad Sassendorf,59505,Nordrhein-Westfalen
Bad Saulgau,88348,Baden-Württemberg
Bad Schandau,01814,Sachsen
Bad Schmiedeberg,06905,Sachsen-Anhalt
Bad Schönborn,76669,Baden-Württemberg
Bad Schussenried,88427,Baden-Württemberg
Bad Schwalbach,65307,Hessen
Bad Schwartau,23611,Schleswig-Holstein
Bad Segeberg,23795,Schleswig-Holstein
Bad Sobernheim,55566,Rheinland-Pfalz
Bad Soden,65812,Hessen
Bad Soden-Salmünster,63628,Hessen
Bad Sooden-Allendorf,37242,Hessen
Bad Staffelstein,96231,Bayern
Bad Steben,95138,Bayern
Bad Sulza,99518,Thüringen
Bad Sülze,18334,Mecklenburg-Vorpommern
Bad Tabarz,99891,Thüringen
Bad Teinach-Zavelstein,75385,Baden-Württemberg
Bad Tennstedt,99955,Thüringen
Bad Tölz,83646,Bayern
Bad Überkingen,73337,Baden-Württemberg
Bad Urach,72574,Baden-Württemberg
Bad Vilbel,61118,Hessen
Bad Waldsee,88339,Baden-Württemberg
Bad Wiessee,83707,Bayern
Bad Wildbad,75323,Baden-Württemberg
Bad Wildungen,34537,Hessen
Bad Wilsnack,19336,Brandenburg
Bad Wimpfen,74206,Baden-Württemberg
Bad Windsheim,91438,Bayern
Bad Wörishofen,86825,Bayern
Bad Wünnenberg,33181,Nordrhein-Westfalen
Bad Wurzach,88410,Baden-Württemberg
Bad Zwesten,34596,Hessen
Bad Zwischenahn,26160,Niedersachsen
Baesweiler,52499,Nordrhein-Westfalen
Bahlingen,79353,Baden-Württemberg
Bahrdorf,38459,Niedersachsen
Bahrenborstel,27245,Niedersachsen
Bahrenfleth,25569,Schleswig-Holstein
Bahrenhof,23845,Schleswig-Holstein
Bahretal,01819,Sachsen
Baienfurt,88255,Baden-Württemberg
Baierbach,84171,Bayern
Baierbrunn,82065,Bayern
Baiern,85625,Bayern
Baiersbronn,72270,Baden-Württemberg
Baiersdorf,91083,Bayern
Baindt,88255,Baden-Württemberg
Baisweil,87650,Bayern
Bäk,23909,Schleswig-Holstein
Bakum,49456,Niedersachsen
Bälau,23881,Schleswig-Holstein
Balderschwang,87538,Bayern
Baldringen,54314,Rheinland-Pfalz
Balduinstein,65558,Rheinland-Pfalz
Balesfeld,54597,Rheinland-Pfalz
Balge,31609,Niedersachsen
Balgheim,78582,Baden-Württemberg
Balgstädt,06632,Sachsen-Anhalt
Balingen,72336,Baden-Württemberg
Balje,21730,Niedersachsen
Ballendorf,89177,Baden-Württemberg
Ballenstedt,06493,Sachsen-Anhalt
Ballhausen,99955,Thüringen
Ballrechten-Dottingen,79282,Baden-Württemberg
Ballstedt,99439,Thüringen
Balow,19300,Mecklenburg-Vorpommern
Baltmannsweiler,73666,Baden-Württemberg
Baltrum,26579,Niedersachsen
Balve,58802,Nordrhein-Westfalen
Balzhausen,86483,Bayern
Balzheim,88481,Baden-Württemberg
Bamberg,96047,Bayern
Bamberg,96049,Bayern
Bamberg,96050,Bayern
Bamberg,96052,Bayern
Bammental,69245,Baden-Württemberg
Bandelin,17506,Mecklenburg-Vorpommern
Bandenitz,19230,Mecklenburg-Vorpommern
Bann,66851,Rheinland-Pfalz
Bannberscheid,56424,Rheinland-Pfalz
Bannewitz,01728,Sachsen
Banzkow,19079,Mecklenburg-Vorpommern
Barbelroth,76889,Rheinland-Pfalz
Barbing,93092,Bayern
Barby,39240,Sachsen-Anhalt
Barby,39249,Sachsen-Anhalt
Barchfeld-Immelborn,36456,Thüringen
Bardowick,21357,Niedersachsen
Bärenbach,55483,Rheinland-Pfalz
Bärenbach,55758,Rheinland-Pfalz
Barenburg,27245,Niedersachsen
Barendorf,21397,Niedersachsen
